Tarih,Borç Alma,Borç Verme
20.02.02,57,62
14.03.02,54,61
08.04.02,51,58
30.04.02,48,55
05.08.02,46,53
11.11.02,44,51
25.04.03,41,48
04.06.03,38,45
16.07.03,35,41
06.08.03,32,38
18.09.03,29,35
15.10.03,26,31
05.02.04,24,29
17.03.04,22,27
08.09.04,20,24
20.12.04,18,22
11.01.05,17,21
09.02.05,16.5,20.5
09.03.05,15.5,19.5
11.04.05,15,19
10.05.05,14.5,18.5
09.06.05,14.25,18.25
11.10.05,14,18
09.11.05,13.75,17.75
09.12.05,13.5,17.5
02.01.06,13.5,16.5
28.04.06,13.25,16.25
08.06.06,15,18
26.06.06,17.25,20.25
28.06.06,17.25,22.25
21.07.06,17.5,22.5
14.09.07,17.25,22.25
17.10.07,16.75,21.5
15.11.07,16.25,20.75
14.12.07,15.75,20
18.01.08,15.5,19.5
15.02.08,15.25,19.25
16.05.08,15.75,19.75
17.06.08,16.25,20.25
18.07.08,16.75,20.25
23.10.08,16.75,19.75
20.11.08,16.25,18.75
19.12.08,15,17.5
16.01.09,13,15.5
20.02.09,11.5,14
20.03.09,10.5,13
17.04.09,9.75,12.25
15.05.09,9.25,11.75
17.06.09,8.75,11.25
17.07.09,8.25,10.75
19.08.09,7.75,10.25
18.09.09,7.25,9.75
16.10.09,6.75,9.25
20.11.09,6.5,9
17.09.10,6.25,8.75
15.10.10,5.75,8.75
12.11.10,1.75,8.75
17.12.10,1.5,9
05.08.11,5,9
21.10.11,5,12.5
22.02.12,5,11.5
19.09.12,5,10
19.10.12,5,9.5
21.11.12,5,9
23.01.13,4.75,8.75
20.02.13,4.5,8.5
27.03.13,4.5,7.5
17.04.13,4,7
17.05.13,3.5,6.5
24.07.13,3.5,7.25
21.08.13,3.5,7.75
29.01.14,8,12
18.07.14,7.5,12
28.08.14,7.5,11.25
25.02.15,7.25,10.75
25.03.16,7.25,10.5
21.04.16,7.25,10
25.05.16,7.25,9.5
22.06.16,7.25,9
20.07.16,7.25,8.75
24.08.16,7.25,8.5
23.09.16,7.25,8.25
25.11.16,7.25,8.5
25.01.17,7.25,9.25
01.06.18,15,16.5
08.06.18,16.25,19.25
14.09.18,22.5,24
21.09.18,22.5,25.5
26.07.19,18.25,21.25
13.09.19,15,18
25.10.19,12.5,15.5
13.12.19,10.5,13.5
17.01.20,9.75,12.75
20.02.20,9.25,12.25
18.03.20,8.25,11.25
23.04.20,7.25,10.25
22.05.20,6.75,9.75
25.09.20,8.75,11.75
20.11.20,13.5,15
27.11.20,13.5,16.5
25.12.20,15.5,18.5
19.03.21,17.5,20.5
24.09.21,16.5,19.5
22.10.21,14.5,17.5
19.11.21,13.5,16.5
17.12.21,12.5,15.5
19.08.22,11.5,14.5
23.09.22,10.5,13.5
21.10.22,9,12
25.11.22,7.5,10.5
24.02.23,7,10
23.06.23,13.5,16.5
21.07.23,16,19
